Media Time (seconds),Attention (%),Valence (%),Arousal (%)
10.830669,100.0,30.5,62.5
10.85923,100.0,30.5,62.5
10.887626,100.0,30.0,62.5
10.920695,100.0,30.0,63.0
10.947941,100.0,30.0,63.0
10.976676,100.0,30.0,63.0
11.003199,100.0,30.5,63.0
11.030834,100.0,30.5,62.5
11.059229,100.0,30.5,62.5
11.086103,100.0,31.0,62.0
11.113262,100.0,31.0,62.0
11.141404,100.0,31.5,61.5
11.169239,100.0,31.5,61.0
11.195708,99.0,31.5,60.5
11.223579,99.0,32.0,60.0
11.251282,99.0,32.0,59.5
11.280095,99.0,32.0,59.5
11.3077,99.0,31.5,59.0
11.335722,99.0,31.5,58.5
11.362771,99.0,31.5,58.5
11.391626,99.0,31.5,57.99999999999999
11.419464,99.0,31.5,57.99999999999999
11.451998,99.0,31.5,57.49999999999999
11.487025,99.0,31.0,57.49999999999999
11.522138,99.0,31.5,57.49999999999999
11.552502,99.0,31.5,57.99999999999999
11.586333,99.0,31.5,57.99999999999999
11.616981,99.0,31.0,57.99999999999999
11.646445,99.0,31.5,57.99999999999999
11.67913,100.0,31.5,57.49999999999999
11.714481,99.0,31.0,57.00000000000001
11.749388,99.0,31.5,56.49999999999999
11.784214,99.0,31.5,55.50000000000001
11.813376,98.0,31.5,54.50000000000001
11.846836,98.0,32.0,53.0
11.876419,97.0,32.0,49.0
11.905407,97.0,32.0,46.5
11.933329,97.0,32.5,45.5
11.962484,96.0,32.99999999999999,44.0
11.990824,96.0,32.99999999999999,43.5
12.018425,96.0,32.99999999999999,43.0
12.047278,95.0,32.99999999999999,42.5
12.075555,95.0,32.99999999999999,42.0
12.103225,95.0,33.5,41.5
12.1317,94.0,33.5,40.5
12.159861,94.0,34.0,40.0
12.186192,93.0,34.0,39.5
12.213044,93.0,34.5,39.0
12.238813,92.0,34.5,39.0
12.267473,92.0,35.0,38.5
12.295688,91.0,35.5,38.0
12.322397,91.0,35.5,38.0
12.350515,91.0,36.0,37.5
12.37745,90.0,36.0,37.5
12.404749,90.0,36.0,37.0
12.433753,89.0,36.0,37.0
12.460783,89.0,36.0,36.5
12.489014,88.0,36.5,36.0
12.517923,88.0,36.5,35.5
12.545852,87.0,36.5,35.5
12.57312,86.0,36.0,35.0
12.600618,86.0,36.0,34.5
12.627391,85.0,36.0,34.5
12.655266,84.0,36.0,34.5
12.682208,84.0,35.5,34.5
12.720043,83.0,36.0,34.5
12.755376,83.0,36.0,34.5
12.783056,83.0,36.0,34.5
12.811919,83.0,36.0,35.0
12.839898,83.0,36.0,35.0
12.869394,83.0,36.0,35.0
12.897378,82.0,36.0,35.0
12.925471,82.0,36.0,35.0
12.954488,82.0,36.0,35.0
12.981606,82.0,36.0,35.0
13.008639,82.0,36.0,35.0
13.035574,82.0,36.5,35.0
13.064362,82.0,36.5,35.5
13.092086,82.0,37.0,35.5
13.119351,82.0,37.0,36.0
13.148772,82.0,36.5,36.0
13.174949,83.0,36.5,36.5
13.203424,83.0,36.5,37.0
13.232774,83.0,36.5,37.0
13.262189,83.0,37.0,37.0
13.28992,84.0,36.5,37.5
13.316649,84.0,37.0,37.5
13.344135,84.0,37.0,37.5
13.372176,84.0,36.5,37.5
13.400566,84.0,36.5,37.0
13.428356,84.0,36.5,37.0
13.457241,84.0,36.5,37.0
13.484507,84.0,36.5,36.5
13.515107,84.0,36.0,36.5
13.54687,84.0,36.0,36.0
13.578918,83.0,35.5,36.0
13.613025,83.0,35.0,35.5
13.648822,83.0,34.5,35.5
13.690685,83.0,34.5,35.0
13.722652,82.0,34.5,34.5
13.75117,82.0,34.5,34.5
13.779414,82.0,34.0,34.5
13.807459,82.0,34.0,34.5
13.83532,82.0,34.0,34.5
13.861679,82.0,34.0,35.0
13.889734,82.0,34.0,35.0
13.918907,82.0,34.0,35.0
13.948391,82.0,34.0,35.0
13.978748,82.0,33.5,35.0
14.007398,82.0,33.5,35.0
14.03566,82.0,33.5,34.5
14.062312,81.0,33.5,34.5
14.090497,81.0,33.5,34.5
14.11848,80.0,33.5,34.5
14.146856,80.0,34.0,34.0
14.175919,80.0,33.5,34.0
