Media Time (seconds),Attention (%),Valence (%),Arousal (%)
9.579845,92.0,37.0,37.5
9.60949,92.0,37.0,37.0
9.639176,91.0,37.0,37.0
9.670025,91.0,37.0,37.0
9.699133,91.0,37.0,37.0
9.730873,90.0,37.0,37.0
9.763912,90.0,37.0,37.0
9.796199,90.0,36.5,37.0
9.832141,90.0,36.5,37.0
9.865274,90.0,36.5,37.0
9.899572,90.0,36.5,37.0
9.961933,89.0,36.5,36.5
10.023525,90.0,36.0,37.5
10.070019,89.0,35.5,37.0
10.113735,89.0,35.5,37.5
10.157908,89.0,35.5,37.0
10.200391,89.0,35.0,37.5
10.240427,89.0,35.0,37.0
10.277362,89.0,35.0,37.0
10.31307,88.0,35.5,37.0
10.349555,88.0,35.5,37.0
10.387284,88.0,35.5,37.5
10.43095,88.0,35.5,37.5
10.470959,89.0,35.0,37.5
10.509755,88.0,35.0,37.0
10.549901,89.0,35.0,37.5
10.590754,89.0,35.0,37.5
10.629636,89.0,34.5,37.5
10.670372,89.0,35.0,37.5
10.710851,89.0,35.0,37.0
10.747508,89.0,35.0,37.5
10.789911,90.0,35.5,37.5
10.827775,90.0,36.0,38.0
10.863371,90.0,36.0,38.0
10.900005,90.0,36.5,38.0
10.934397,90.0,36.5,38.0
10.963124,91.0,36.0,38.5
10.992228,91.0,36.0,38.0
11.022795,91.0,36.0,38.5
11.054039,91.0,36.0,38.0
11.083205,91.0,35.5,38.0
11.111454,91.0,35.5,38.0
11.140296,91.0,35.5,38.0
11.170487,91.0,35.0,38.0
11.19963,92.0,35.0,38.0
11.228614,92.0,34.5,38.5
11.259986,92.0,34.5,38.5
11.29026,93.0,34.5,39.0
11.319975,93.0,34.0,39.0
11.349171,93.0,34.0,39.0
11.377312,93.0,34.0,39.0
11.405805,93.0,34.0,39.0
11.434993,93.0,34.0,39.0
11.463212,93.0,34.5,38.5
11.493501,93.0,34.5,38.5
11.522827,93.0,34.5,38.5
11.552651,93.0,34.5,38.5
11.580512,93.0,34.5,38.5
11.606264,93.0,34.5,38.0
11.636681,93.0,34.5,38.0
11.666069,93.0,35.0,38.0
11.703197,93.0,35.0,38.0
11.733118,93.0,35.0,38.0
11.760018,93.0,35.5,38.5
11.78953,93.0,35.5,38.5
11.820215,93.0,36.0,38.5
11.850948,94.0,36.0,39.0
11.880514,94.0,36.0,39.5
11.908615,94.0,36.0,39.5
11.93895,94.0,36.5,39.5
11.969802,94.0,36.5,39.5
12.000744,94.0,36.5,39.0
12.027493,94.0,36.5,39.5
12.055398,94.0,37.0,39.5
12.086503,94.0,37.0,39.5
12.119271,94.0,36.5,40.0
12.149356,95.0,36.5,40.0
12.178179,95.0,36.5,40.5
12.20689,95.0,36.0,40.5
12.235827,96.0,36.0,40.5
